,iso,covax_total,avat_total,bilateral_total,donation_total,GGHE,Funding_amount,Funding amount utilized,Disbursement amount,Proportion_utilized,vaccine_willingness,funding_as_GGHE_prop,country,xcovax_offer,xcovax_strtemp,xcovax_should_have,name_short,income_group,population,Administration_rate_fully_vaccianted_70,per_population_current_doses_remaining_country,per_population_courses_secured_shipped_per_country,num_courses_remaining_country,num_doses_administered_per_capita,per_courses_req_secured_WHO_70,per_courses_shipped_WHO_70,per_courses_secured_WHO_70,doses_administered_by_population,num_courses_administered_WHO_70,num_courses_secured_WHO_70,num_courses_shipped_WHO_70,per_courses_administered_WHO_70,WHO_70per_global_target_vaccination_coverage_by_mid_status,WHO_40per_global_target_vaccination_coverage_by_mid_status,WHO_20per_global_target_vaccination_coverage_by_mid_status,WHO_10per_global_target_vaccination_coverage_by_mid_status,num_of_courses_required_WHO_70per,num_of_courses_required_administered_WHO_70per,num_of_courses_required_shipped_WHO_70per,num_of_courses_required_secured_WHO_70per,num_of_courses_required_WHO_40per,num_of_courses_required_administered_WHO_40per,num_of_courses_required_shipped_WHO_40per,num_of_courses_required_secured_WHO_40per,num_of_doses_administered_date,num_of_courses_secured,num_of_courses_delivered_date,num_of_doses_delivered_date,num_of_doses_remaining_in_country,per_of_population_fully_vaccinated_per_country,per_of_population_coverage_in_national_target_definition,Administration_rate__fully_vaccinated_4wk_average,National_target_deadline,Progress_national_target,National_target_detail,Progress_target_per_country,COVAX_participation_modality,total_vaccine_doses_received_utilized,who_region,vaccine_courses_secured_population,courses_delivered_date_population,Number_individuals_fully_vaccinated_any_product_from_any_source,day_average_of_individuals_fully_vaccinated,day_average_of_total_COVID_vaccine,days_until_country_coverage_target_achievement,doses_remaining_in_country_population,Vaccination_60_above,Vaccination_for_HCW,t70_scaleup,reported_supply_bottleneck,reported_lack_funding_bottleneck,reported_delivery_bottleneck,reported_health_bottleneck_bottleneck,reported_demand_challenges_bottleneck,reported_strategy_protocols_bottleneck,reported_needs_risk_and_engagement_strategies,reported_needs_health_recruitment_and_training,reported_needs_rapid_or_to_and_gaps_health_absorption_capacities,reported_needs_financial_support_support,reported_needs_procurement_vaccines_vaccines,reported_needs_guidance_developing_policies_or_for_up_vaccination_vaccination,reported_needs_operational_and_for_chain_management,Intent_to_vaccinate1,Name,Mortality,Primary_series_coverage,first_dose_coverage,pop_60,pop_hcw
68,FLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Falkland Islands (Malvinas),0,50.962,75.567,NA,NA
69,FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faroe Islands,0,83.69,85.368,NA,NA
70,FJI,501280,0,NA,1249500,129483873,30305828,230000,3971842.978,17.26888251,NA,0.234050985,NA,NA,NA,NA,Fiji,UMIC,896445,0,0.074436803,0.374556721,66728.5,1.6088494,0,0.083374018,0,1.6088494,632713,0,57550,0.083374018,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,690263,57550,0,0,394436,0,0,0,1442245,1211160,875390,1750780,133457,0.705802364,NA,0.000196729,,Not captured,NA,70% target met,AMC,0.923772833,WPR,1.351069502,0.976512781,632713,0.000660825,592.3928571,NA,0.148873606,0.896631539,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fiji,0,70.764,76.702,89863,3851
71,FIN,0,0,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA,Finland,HIC,5525292,0,0.098634561,1.86909624,544984.75,2.122414888,0,0,0,2.122414888,4254475,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4254475,0,0,0,2431128,0,0,0,11726962,17447820,7120518,14241035,1089969.5,0.782524797,NA,0.000410037,,Not captured,NA,70% target met,No,0.923462761,EUR,3.157809669,1.288713429,4323678,0.001233639,6816.214286,NA,0.197269122,NA,NA,0,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,91.7,Finland,0,78.395,81.926,1630214,425664
72,FRA,0,0,NA,NA,NA,NA,NA,NA,NA,0.891,NA,NA,NA,NA,NA,France,HIC,65039359,0,0.201169564,1.612517968,13083939.5,2.389217443,0,0,0,2.389217443,50080306,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,50080306,0,0,0,28617318,0,0,0,155393171,205744385,100867250,201734500,26167879,0.830212749,NA,2.89E-05,,Not captured,NA,70% target met,No,0.870285554,EUR,3.16338273,1.550864762,53996505,0.000706977,45981.35714,NA,0.402339128,0.896847838,0.736149235,0,No,No,No,No,No,No,No,No,No,No,No,No,No,87.9,France,1.159,80.23,81.444,17797436,4152645
73,GUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,French Guiana,Other,298682,0.013885934,NA,NA,NA,0.760685277,NA,NA,NA,0.760685277,88307,NA,NA,0.61603148,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,229985,141678,NA,NA,131420,43113,NA,NA,227203,NA,NA,NA,NA,0.29565558,NA,8.13E-05,,Not captured,NA,"between 10% and 40%, off track for 70%",,NA,AMR,NA,NA,88307,0.000318064,95,NA,NA,NA,NA,43.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,French Guiana,0,29.566,32.673,27967,NA
74,PYF,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,French Polynesia,HIC,280908,0.001470118,0.182596971,NA,51292.95,1.226761075,NA,0.151415402,NA,1.226761075,183548,NA,32751,0.151415402,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,216299,32751,0,NA,123600,0,0,NA,344607,NA,248440,496881,102585.9,0.653409657,NA,8.72E-05,,Not captured,NA,"40% target met, not on track for 70%",,0.793540304,WPR,NA,0.884417674,183548,0.000261906,73.57142857,NA,0.365193943,1,NA,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,French Polynesia,0,65.341,66.426,39749,NA
75,GAB,472200,698400,NA,620000,271184658.4,12300000,NA,0,NA,0.981,0.045356548,NA,NA,NA,NA,Gabon,UMIC,2225734,0.01565836,0.236974185,0.180078796,527441.5,0.250100416,0.243729924,0.373494222,0.2338683,0.250100416,255200,400807,640100,0.851092446,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,1713815,1458615,818515,417708,979323,724123,84023,0,556657,1296108,895300,1790600,1054883,0.114658805,0.7,3.69E-05,12/31/2021,Deadline past,0.7,NA,No,0.41087736,AFR,0.582328122,0.402249325,255200,6.19E-05,137.8214286,18574,0.473948369,NA,NA,252.87,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,NA,Gabon,0,11.466,13.518,122655,19096
76,GMB,376800,52800,NA,10000,15455265.09,11987636,977007,1023252.81,1.047334164,NA,0.775634448,NA,NA,NA,NA,Gambia,LIC,2416668,0.013979642,0.077174978,0.525187365,186506.3,0.150352883,0.098094725,0.048865724,0.682061914,0.150352883,318161,1269204,90931,0.829022363,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,1860834,1542673,1451742,182538,1063334,745173,654242,0,363353,1678296,409092,818184,373012.6,0.131652755,0.6,1.59E-05,12/31/2023,Off track,0.6,NA,AMC,0.544096927,AFR,0.69446672,0.169279355,318161,1.59E-05,38.5,58456,0.154349956,0.112170437,1,877.51,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,Gambia,0,13.165,13.708,98429,5634
77,GEO,160020,0,4100000,804570,494021502.5,56100000,NA,638180.98,NA,0.872,0.11355781,NA,NA,NA,NA,Georgia,UMIC,3989175,0.014096098,0.071894565,0.258010742,286800,0.66786516,0.079312034,0.208217693,0.335078858,0.66786516,1159220,1029250,639575,0.622608585,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,3071665,1912445,1272870,243620,1755237,596017,0,0,2664231,2828045,1798795,3597590,573600,0.290591413,NA,6.60E-05,,Not captured,NA,"between 10% and 40%, off track for 70%",Self-financing,0.84055993,EUR,0.708929791,0.45091905,1159220,0.000281754,1123.964286,NA,0.143789129,0.426958933,0.522108725,50.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,Georgia,0,29.115,32.034,871852,75607
78,DEU,0,0,3.00E+07,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,Germany,HIC,83166711,0,0.145554062,2.038521573,12105252.6,2.074566421,0,0.012076385,0,2.074566421,63265015,0,773352,0.012076385,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,64038367,773352,0,0,36593353,0,0,0,172534866,278840118,109302984,218605968,24210505.2,0.760701178,NA,9.30E-05,,Not captured,NA,70% target met,No,0.889250484,EUR,3.352785209,1.314263636,63265015,0.000449683,37398.64286,NA,0.291108124,NA,NA,0,No,No,No,No,No,No,No,No,No,No,No,No,No,89.5,Germany,0.095,76.312,76.612,24440892,5584434
79,GHA,18171600,5865600,302000,2665000,902005621.7,211547813,2211196,3265348.62,1.476734138,0.898,0.234530482,Ghana,49,71,35,Ghana,LMIC,31072940,0.014245908,0.247029211,0.230849527,7675923.85,0.419909606,0.040766836,0.416712558,0.299804599,0.419909606,5807263,7173174,9970333,0.757283993,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,23926164,18118901,8148568,975394,13672094,7864831,0,0,13047826,22950770,15777596,31555193,15351847.7,0.186891327,0.72,0.000707205,12/31/2023,Off track,0.72,NA,AMC,0.513492194,AFR,0.738609526,0.50776,5807263,0,0,NA,0.494058422,0.037488234,0.660526706,0,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,88.8,Ghana,0,19.408,31.18,1724221,404780
80,GIB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gibraltar,0,122.944,124.882,NA,NA
81,GRC,0,0,NA,NA,NA,NA,NA,NA,NA,0.915,NA,NA,NA,NA,NA,Greece,HIC,10718565,0,0.223359284,1.716176419,2394091,1.940906455,0,0.067435249,0,1.940906455,7696732,0,556563,0.067435249,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,8253295,556563,0,0,4716169,0,0,0,20803732,32612678,14217730,28435460,4788182,0.718074854,NA,0.000139641,,Not captured,NA,70% target met,No,0.83161229,EUR,3.042634765,1.326458346,7696732,0.001152666,12354.92857,NA,0.446718567,0.805061474,0.944408796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6,Greece,2.025,71.839,73.635,3029473,247791
82,GRL,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greenland,0,67.819,72.647,NA,NA
83,GRD,114630,0,NA,58750,20201670.14,555000,230000,230000,1,NA,0.027472976,NA,NA,NA,NA,Grenada,UMIC,112523,0.012049473,0.357645992,0,40243.4,0.780498209,0,0.559271955,0,0.780498209,38186,0,48457,0.559271955,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,86643,48457,0,0,49510,11324,0,0,87824,93506,93506,187012,80486.8,0.33936173,0.4,6.70E-05,6/30/2022,Off track,0.4,"between 10% and 40%, off track for 70%",AMC,0.569616923,AMR,0.830994552,0.830994552,38186,0.000171394,19.28571429,436,0.715291985,NA,NA,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grenada,0,33.936,38.587,17160,2252
84,GLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guadeloupe,Other,400124,0.012039732,NA,NA,NA,0.931873619,NA,NA,NA,0.931873619,142232,NA,NA,0.538350184,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,308095,165863,NA,NA,176055,33823,NA,NA,372865,NA,NA,NA,NA,0.355469804,NA,6.90E-05,,Not captured,NA,"between 10% and 40%, off track for 70%",,NA,AMR,NA,NA,142232,0.000298747,119.5357143,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guadeloupe,0.25,35.547,37.031,107188,NA
85,GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guam,HIC,168775,0,NA,NA,NA,2.013882388,NA,NA,NA,2.013882388,129957,NA,NA,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,129957,0,NA,NA,74261,0,NA,NA,339893,NA,NA,NA,NA,0.82525848,NA,0.000460038,,Not captured,NA,70% target met,,NA,WPR,NA,NA,139283,0.001694987,286.0714286,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guam,1.185,82.788,91.085,26720,NA
86,GTM,4963060,0,8.00E+06,9159000,1612434650,6783889,NA,758969.98,NA,0.952,0.004207233,NA,NA,NA,NA,Guatemala,UMIC,17915568,0.010803168,0.009674575,0.145294863,173325.5,0.944695865,0.115746176,0.251759135,0.188694632,0.944695865,6122216,2603040,3473014,0.556199944,Off track,3) Goal not yet met,1) Goal met by deadline,1) Goal met by deadline,13794987,7672771,4199757,1596717,7882850,1760634,0,0,16924763,12198270,9595230,19190460,346651,0.341726034,NA,0.000243539,,Not captured,NA,"between 10% and 40%, off track for 70%",Self-financing,0.981936285,AMR,0.680875426,0.535580563,6122216,0.001330822,23842.42857,NA,0.019349149,0.58221891,1,8.12,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,94.8,Guatemala,0.636,34.173,45.33,1340379,125971
87,GGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guernsey,3.102,NA,NA,NA,NA
88,GIN,4793310,108000,2300000,418000,78203134.12,38050627,3959315,3646081.42,0.920886926,0.943,0.486561407,NA,NA,NA,NA,Guinea,LIC,13132795,0.015498523,0,0.512418948,0,0.465380218,0.002106356,0.084131507,0.665479163,0.465380218,2510700,6729493,850759,0.751717026,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,10112252,7601552,6750793,21300,5778430,3267730,2416971,0,6111743,10090952,3361459,6722918,0,0.191177887,0.4,4.57E-05,12/31/2021,Deadline past,0.4,NA,AMC,1,AFR,0.768378095,0.255959147,2510700,0.000224297,2945.642857,1194,0,0.40751217,0.556126928,69.1,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,97.9,Guinea,0,19.118,34.09,636095,15946
89,GNB,360000,122400,NA,388000,9151637.741,10514839.19,978460,1810713.633,1.850575019,NA,1.148957103,NA,NA,NA,NA,Guinea-Bissau,LIC,1968001,0.012762562,0.164116532,0.489511438,322981.5,0.285884001,0,0.217730297,0.556914161,0.285884001,341495,843926,329940,0.774644458,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,1515361,1173866,843926,0,865920,524425,194485,0,562620,1634794,671435,1342870,645963,0.173523794,0.7,0,12/31/2023,Off track,0.7,NA,AMC,0.518968329,AFR,0.830687586,0.341176148,341495,0,0,NA,0.328233065,0.185435764,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guinea-Bissau,0,17.352,26.395,92290,6139
90,GUY,291540,31200,9.00E+05,334050,142455920,7664149,230000,549552.2234,2.389357493,NA,0.053800144,NA,NA,NA,NA,Guyana,UMIC,786552,0.005958302,0.038218897,0.528577259,30061.15,1.144834671,0,0.279582924,0.118850151,1.144834671,364336,71981,169328,0.398433075,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,605645,241309,71981,0,346083,0,0,0,900472,949418,533664,1067327,60122.3,0.463206501,0.8,0.000120462,12/31/2022,Off track,0.8,"40% target met, not on track for 70%",AMC,0.943670215,AMR,1.207062597,0.678485339,364336,0.000373829,294.0357143,1428,0.076437794,NA,NA,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guyana,0,46.321,60.313,88929,7612
91,HTI,795600,0,NA,NA,85611818.17,17189750.18,2138482,8362231.953,3.910358822,0.624,0.200787117,NA,NA,NA,NA,Haiti,LMIC,11402528,0.021977905,0.019407889,0.471214936,221299,0.023980822,0.342724848,0.030968866,0.611967362,0.023980822,125895,5373041,271905,0.985661075,Off track,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,8779947,8654052,8382147,3009106,5017112,4891217,4619312,0,273442,5770842,397800,795600,442598,0.011040973,NA,3.38E-05,,Not captured,NA,NA,AMC,0.44369281,AMR,0.506101936,0.034887,125895,5.71E-05,650.8928571,NA,0.038815778,NA,NA,385.02,No,No,No,No,No,No,No,No,No,No,No,No,No,66.3,Haiti,0,1.104,1.578,910210,58078
92,VAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holy See,0,NA,NA,NA,NA
93,HND,4714920,0,12700000,389100,680289736.3,56312719.84,369382,420727.11,1.13900274,0.969,0.082777553,NA,NA,NA,NA,Honduras,LMIC,9904607,0.00660931,0.000949967,0.386631948,9409.05,1.241123348,0,0.250681206,0.103157694,1.241123348,4927978,786737,1911832,0.3538389,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7626547,2698569,786737,0,4358027,0,0,0,12292839,10669248,6839810,13679619,18818.1,0.497544022,0.8,0.000749467,10/31/2022,Off track,0.8,"40% target met, not on track for 70%",AMC,0.99862437,AMR,1.077200489,0.69056854,4927978,0.001196957,11855.39286,476,0.001899934,0.660064973,1,5.52,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,96.5,Honduras,0.02,49.465,53.427,760007,80819
94,HUN,0,0,7.00E+06,NA,NA,NA,NA,NA,NA,0.841,NA,NA,NA,NA,NA,Hungary,HIC,9769526,0.002195882,0.677219519,1.777221126,6616113.7,1.673419877,0,0.184504559,0,1.673419877,6134593,0,1387942,0.184504559,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,7522535,1387942,0,0,4298591,0,0,0,16348519,33796356,16433748,32867496,13232227.4,0.627931488,NA,2.49E-05,,Not captured,NA,"40% target met, not on track for 70%",No,0.597406891,EUR,3.459364968,1.682143842,6134593,0.00131061,12804.03571,NA,1.354439038,1,0.956752834,1.68,No,No,No,No,No,No,No,No,No,No,No,No,No,82.8,Hungary,0,62.805,64.92,2590872,312315
95,ISL,0,0,1054500,NA,NA,NA,NA,NA,NA,0.964,NA,NA,NA,NA,NA,Iceland,HIC,364134,0,0.230021091,0,83758.5,2.188765674,0,0,0,2.188765674,280383,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,280383,0,0,0,160219,0,0,0,797004,535845,535845,1071690,167517,0.813579616,NA,4.01E-05,,Not captured,NA,70% target met,No,0.84368894,EUR,1.47155992,1.47155992,296252,0.000648113,236,NA,0.460042182,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iceland,0,81.358,84.037,75860,22968
96,IND,1.00E+07,0,2.50E+09,NA,26554332750,127543828.2,1.50E+07,39969612.19,2.664640813,0.983,0.004803127,NA,NA,NA,NA,India,LMIC,1380004385,0.001003393,0,0.260905185,0,1.363545981,0,0.173338168,0.022424853,1.363545981,854584930,23828724,184189722,0.19576302,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,1062603376,208018446,23828724,0,607201929,0,0,0,1881699433,1398824951,1038774652,2077549304,0,0.619262474,0.7,0.000625745,,No timeline,0.7,"40% target met, not on track for 70%",AMC,1,SEAR,1.013638048,0.752732863,854584930,0.001133366,1564050.393,50,0,0.809754343,1,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,India,0.016,62.566,72.65,144322343,5824562
97,IDN,93598690,0,355700000,16125330,14745961065,1100548970,3466850,7284843.738,2.101286107,0.966,0.074633926,NA,NA,NA,NA,Indonesia,LMIC,273523615,0.001282152,0,0.28730421,0,1.458509475,0,0.220246317,0,1.458509475,164226406,0,46386778,0.220246317,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,210613184,46386778,0,0,120350391,0,0,0,398936784,299303894,220719408,441438817,0,0.600410338,0.86,0.000704554,12/31/2022,Off track,0.86,"40% target met, not on track for 70%",AMC,1,SEAR,1.09425248,0.80694827,164226406,0.002923563,799663.4643,134,0,0.482576382,1,0.44,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,96.7,Indonesia,0.034,60.48,72.848,28803892,1807960
98,IRN,13115310,0,159890000,6525000,18194076300,2428858,NA,0,NA,NA,0.000133497,NA,NA,NA,NA,Iran,LMIC,83992949,0,0,0.133711736,0,1.760318905,0,0.11235957,0,1.760318905,57407764,0,7266807,0.11235957,On track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,64674571,7266807,0,0,36956898,0,0,0,147854376,93127411,81896568,163793136,0,0.683483134,NA,0.000304875,,Not captured,NA,"40% target met, on track for 70%",Self-financing,1,EMR,1.108752724,0.975040988,57407764,0.000847403,71175.89286,NA,0,0.854847198,1,0,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,NA,Iran (Islamic Republic of),0.096,68.567,76.617,9005131,818176
99,IRQ,8598750,0,6500000,750000,4428819388,108624102,NA,491338.3,NA,0.85,0.02452665,NA,NA,NA,NA,Iraq,UMIC,40222493,0.017055932,0,0.23768385,0,0.449012099,0.370596733,0.082551599,0.308680321,0.449012099,7376481,9560237,2556732,0.761828653,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,30971320,23594839,21038107,11477870,17697897,10321416,7764684,0,18060386,19493450,9933213,19866426,0,0.183391939,NA,0.000159675,,Not captured,NA,NA,Self-financing,1,EMR,0.484640522,0.246956672,7376481,0.000328202,13201.10714,NA,0,NA,0.522440004,51.97,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,84.2,Iraq,0.005,18.407,26.218,2116920,366065
100,IRL,0,0,NA,NA,NA,NA,NA,NA,NA,0.922,NA,NA,NA,NA,NA,Ireland,HIC,4964440,0,0.037909412,1.911213047,188199,2.16547385,0,0,0,2.16547385,3822619,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,3822619,0,0,0,2184354,0,0,0,10750365,15669638,6181535,12363070,376398,0.802631717,NA,7.38E-05,,Not captured,NA,70% target met,No,0.969554649,EUR,3.156375644,1.245162596,3984617,0.001229264,6102.607143,NA,0.075818823,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,Ireland,0.604,80.316,81.226,997954,288206
101,IMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Isle of Man,2.352,78.822,81.772,NA,NA
102,ISR,0,0,42200000,NA,NA,NA,NA,NA,NA,0.927,NA,NA,NA,NA,NA,Israel,HIC,8655541,0,0.170475878,1.661037074,1475560.95,1.732989769,0,0.04309513,0,1.732989769,6377548,0,287219,0.04309513,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,6664767,287219,0,0,3808438,0,0,0,14999964,24350000,9972826,19945651,2951121.9,0.736816797,NA,0.000474432,,Not captured,NA,70% target met,Self-financing,0.852041836,EUR,2.813226868,1.152189794,6377548,0.003311256,28660.71429,NA,0.340951756,1,0,0,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,91.7,Israel,0.046,73.682,81.464,1456042,475286
103,ITA,0,0,7.00E+07,NA,NA,NA,NA,NA,NA,0.953,NA,NA,NA,NA,NA,Italy,HIC,59641488,0,0,2.578648113,0,2.267537591,0,0,0,2.267537591,45923946,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,45923946,0,0,0,26242255,0,0,0,135239316,224836364,71041954,142083908,0,0.795021663,NA,5.28E-05,,Not captured,NA,70% target met,No,1,EUR,3.769798039,1.191149926,47416275,0.001220342,72783,NA,0,1,0.795021663,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,Italy,1.47,79.526,84.451,18317015,1931331
104,JAM,1353900,216000,NA,1398010,611739560.6,4579630,NA,733508.16,NA,NA,0.007486241,NA,NA,NA,NA,Jamaica,UMIC,2961167,0.016104593,0.319002778,0.295006665,944620.5,0.477928465,0,0.504469323,0.194852943,0.477928465,685575,444284,1150240,0.699322266,Off track,3) Goal not yet met,2) Goal met after deadline,2) Goal met after deadline,2280099,1594524,444284,0,1302913,617338,0,0,1415226,2709379,1835815,3671630,1889241,0.231521897,NA,0.000141547,,Not captured,NA,NA,Self-financing,0.48544897,AMR,0.91497001,0.619963346,685575,0.00023298,689.8928571,NA,0.638005557,0.35095682,0.602961061,69.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jamaica,0.236,23.152,26.662,404517,38202
